Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_12_06_0067,1,11810.79,,bout start; spontaneous,Excitatory,11.81079
2012_12_06_0067,2,11842.48,31.5557,,Excitatory,11.84248
2012_12_06_0067,3,11871.59,34.3525,,Excitatory,11.871590000000001
2012_12_06_0067,4,11903.45,31.3873,,Excitatory,11.903450000000001
2012_12_06_0067,5,11936.02,30.7031,,Excitatory,11.936020000000001
2012_12_06_0067,6,11967.48,31.7864,bout end,Excitatory,11.96748
2012_12_06_0067,7,28060.51,0.0621,bout start; spontaneous,Excitatory,28.06051
2012_12_06_0067,8,28087.87,36.5497,,Excitatory,28.08787
2012_12_06_0067,9,28121.18,30.021,,Excitatory,28.121180000000003
2012_12_06_0067,10,28151.94,32.5098,,Excitatory,28.15194
2012_12_06_0067,11,28183.31,31.8776,,Excitatory,28.183310000000002
2012_12_06_0067,12,28217.64,29.129,,Excitatory,28.21764
2012_12_06_0067,13,28248.84,32.0513,,Excitatory,28.24884
2012_12_06_0067,14,28282.65,29.577,,Excitatory,28.28265
2012_12_06_0067,15,28316.41,29.6209,,Excitatory,28.31641
2012_12_06_0067,16,28352.62,27.6167,,Excitatory,28.352619999999998
2012_12_06_0067,17,28384.95,30.931,,Excitatory,28.38495
2012_12_06_0067,18,28415.91,32.2997,,Excitatory,28.41591
2012_12_06_0067,19,28447.23,31.9285,,Excitatory,28.44723
2012_12_06_0067,20,28477.02,33.5683,,Excitatory,28.47702
2012_12_06_0067,21,28508.92,31.348,,Excitatory,28.50892
2012_12_06_0067,22,28545.48,27.3523,,Excitatory,28.54548
2012_12_06_0067,23,28579.12,29.7265,,Excitatory,28.57912
2012_12_06_0067,24,28616.59,26.688,,Excitatory,28.616590000000002
2012_12_06_0067,25,28652.51,27.8396,,Excitatory,28.65251
2012_12_06_0067,26,28691.06,25.9403,,Excitatory,28.69106
2012_12_06_0067,27,28729.08,26.3019,,Excitatory,28.729080000000003
2012_12_06_0067,28,28768.26,25.5232,,Excitatory,28.768259999999998
2012_12_06_0067,29,28803.93,28.0348,,Excitatory,28.80393
2012_12_06_0067,30,28839.05,28.4738,,Excitatory,28.83905
2012_12_06_0067,31,28874.52,28.1928,,Excitatory,28.87452
2012_12_06_0067,32,28914.62,24.9377,,Excitatory,28.91462
2012_12_06_0067,33,28953.34,25.8264,,Excitatory,28.95334
2012_12_06_0067,34,28990.49,26.9179,,Excitatory,28.99049
2012_12_06_0067,35,29025.41,28.6369,bout end,Excitatory,29.02541
2012_12_06_0067,36,29508.71,2.0691,bout start; spontaneous,Excitatory,29.50871
2012_12_06_0067,37,29538.48,33.5909,,Excitatory,29.53848
2012_12_06_0067,38,29573.7,28.393,,Excitatory,29.573700000000002
