Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_06_22_0012,1,6712.77,,bout start; shock,Inhibitory,6.712770000000001
2012_06_22_0012,2,6738.1,39.4789,,Inhibitory,6.7381
2012_06_22_0012,3,6764.29,38.1825,,Inhibitory,6.76429
2012_06_22_0012,4,6799.22,28.6287,,Inhibitory,6.79922
2012_06_22_0012,5,6836.19,27.049,,Inhibitory,6.836189999999999
2012_06_22_0012,6,6871.62,28.2247,,Inhibitory,6.87162
2012_06_22_0012,7,6904.48,30.4321,,Inhibitory,6.9044799999999995
2012_06_22_0012,8,6938.93,29.0276,,Inhibitory,6.93893
2012_06_22_0012,9,6970.27,31.9081,bout end,Inhibitory,6.97027
2012_06_22_0012,10,7641.78,1.4892,bout start; spontaneous,Inhibitory,7.64178
2012_06_22_0012,11,7667.69,38.5951,,Inhibitory,7.6676899999999995
2012_06_22_0012,12,7689.45,45.9559,,Inhibitory,7.68945
2012_06_22_0012,13,7716.38,37.1333,,Inhibitory,7.71638
2012_06_22_0012,14,7751.92,28.1373,,Inhibitory,7.75192
2012_06_22_0012,15,7792.17,24.8447,,Inhibitory,7.7921700000000005
2012_06_22_0012,16,7826.9,28.7936,,Inhibitory,7.8269
2012_06_22_0012,17,7861.2,29.1545,,Inhibitory,7.8612
2012_06_22_0012,18,7894.29,30.2206,,Inhibitory,7.89429
2012_06_22_0012,19,7927.57,30.0481,bout end,Inhibitory,7.92757
2012_06_22_0012,20,13068.69,0.1945,bout start; shock,Inhibitory,13.06869
2012_06_22_0012,21,13099.2,32.7761,,Inhibitory,13.099200000000002
2012_06_22_0012,22,13135.58,27.4876,,Inhibitory,13.135580000000001
2012_06_22_0012,23,13175.36,25.1383,,Inhibitory,13.175360000000001
2012_06_22_0012,24,13220.47,22.168,,Inhibitory,13.220469999999999
2012_06_22_0012,25,13259.53,25.6016,,Inhibitory,13.259530000000002
2012_06_22_0012,26,13295.68,27.6625,,Inhibitory,13.29568
2012_06_22_0012,27,13329.78,29.3255,,Inhibitory,13.329780000000001
2012_06_22_0012,28,13365.63,27.894,bout end,Inhibitory,13.36563
2012_06_22_0012,29,15281.36,0.522,bout start; shock,Inhibitory,15.281360000000001
2012_06_22_0012,30,15303.56,45.045,,Inhibitory,15.30356
2012_06_22_0012,31,15328.85,39.5413,,Inhibitory,15.328850000000001
2012_06_22_0012,32,15354.92,38.3583,,Inhibitory,15.35492
2012_06_22_0012,33,15392.9,26.3296,,Inhibitory,15.3929
2012_06_22_0012,34,15431.79,25.7136,,Inhibitory,15.431790000000001
2012_06_22_0012,35,15470.7,25.7003,,Inhibitory,15.4707
2012_06_22_0012,36,15508.07,26.7594,,Inhibitory,15.50807
2012_06_22_0012,37,15544.39,27.533,,Inhibitory,15.54439
2012_06_22_0012,38,15578.34,29.4551,,Inhibitory,15.57834
2012_06_22_0012,39,15613.53,28.4172,bout end,Inhibitory,15.61353
2012_06_22_0012,40,20609.06,0.2002,,Inhibitory,20.609060000000003
2012_06_22_0012,41,21686.07,0.9285,,Inhibitory,21.68607
2012_06_22_0012,42,21712.73,37.5094,bout start; shock,Inhibitory,21.71273
2012_06_22_0012,43,21766.89,18.4638,,Inhibitory,21.76689
2012_06_22_0012,44,21807.39,24.6914,,Inhibitory,21.80739
2012_06_22_0012,45,21842.47,28.5063,,Inhibitory,21.842470000000002
2012_06_22_0012,46,21881.64,25.5297,bout end,Inhibitory,21.88164
2012_06_22_0012,47,27686.36,0.1723,,Inhibitory,27.68636
2012_06_22_0012,48,27879.73,5.1714,,Inhibitory,27.87973
