Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_12_05_0026,1,2921.0,,bout start; spontaneous,Cell-attached,2.9210000000000003
2012_12_05_0026,2,2965.1,22.6757,,Cell-attached,2.9651
2012_12_05_0026,3,3012.53,21.0837,bout end,Cell-attached,3.0125300000000004
2012_12_05_0026,4,4366.82,0.7384,bout start; spontaneous,Cell-attached,4.36682
2012_12_05_0026,5,4415.16,20.6868,,Cell-attached,4.41516
2012_12_05_0026,6,4452.71,26.6312,,Cell-attached,4.45271
2012_12_05_0026,7,4498.59,21.796,bout end,Cell-attached,4.49859
2012_12_05_0026,8,5058.87,1.7848,bout start; spontaneous,Cell-attached,5.05887
2012_12_05_0026,9,5102.22,23.0681,,Cell-attached,5.10222
2012_12_05_0026,10,5153.79,19.3911,bout end,Cell-attached,5.15379
2012_12_05_0026,11,7880.87,0.3667,bout start; spontaneous,Cell-attached,7.88087
2012_12_05_0026,12,7926.41,21.9587,,Cell-attached,7.92641
2012_12_05_0026,13,7973.35,21.3038,,Cell-attached,7.973350000000001
2012_12_05_0026,14,8019.9,21.4823,bout end,Cell-attached,8.0199
2012_12_05_0026,15,11665.89,0.2743,bout start; spontaneous,Cell-attached,11.66589
2012_12_05_0026,16,11712.09,21.645,,Cell-attached,11.71209
2012_12_05_0026,17,11753.88,23.9292,bout end,Cell-attached,11.753879999999999
2012_12_05_0026,18,12306.18,1.8106,bout start; spontaneous,Cell-attached,12.306180000000001
2012_12_05_0026,19,12349.58,23.0415,,Cell-attached,12.34958
2012_12_05_0026,20,12391.13,24.0674,,Cell-attached,12.391129999999999
2012_12_05_0026,21,12429.52,26.0485,bout end,Cell-attached,12.42952
2012_12_05_0026,22,13177.65,1.3367,bout start; spontaneous,Cell-attached,13.17765
2012_12_05_0026,23,13224.86,21.182,,Cell-attached,13.224860000000001
2012_12_05_0026,24,13265.38,24.6792,bout end,Cell-attached,13.265379999999999
2012_12_05_0026,25,13821.59,1.7979,bout start; spontaneous,Cell-attached,13.82159
2012_12_05_0026,26,13867.96,21.5657,,Cell-attached,13.86796
2012_12_05_0026,27,13909.53,24.0558,,Cell-attached,13.90953
2012_12_05_0026,28,13951.35,23.912,bout end,Cell-attached,13.951350000000001
2012_12_05_0026,29,14564.7,1.6304,bout start; spontaneous,Cell-attached,14.5647
2012_12_05_0026,30,14611.3,21.4592,,Cell-attached,14.6113
2012_12_05_0026,31,14649.81,25.9673,,Cell-attached,14.64981
2012_12_05_0026,32,14692.61,23.3645,bout end,Cell-attached,14.69261
2012_12_05_0026,33,15714.56,0.9785,bout start; spontaneous,Cell-attached,15.71456
2012_12_05_0026,34,15754.86,24.8139,,Cell-attached,15.75486
2012_12_05_0026,35,15797.03,23.7135,,Cell-attached,15.797030000000001
2012_12_05_0026,36,15838.58,24.0674,bout end,Cell-attached,15.83858
2012_12_05_0026,37,18548.15,0.3691,bout start; spontaneous,Cell-attached,18.548150000000003
2012_12_05_0026,38,18589.18,24.3724,,Cell-attached,18.58918
2012_12_05_0026,39,18628.76,25.2653,,Cell-attached,18.62876
2012_12_05_0026,40,18670.9,23.7304,bout end,Cell-attached,18.670900000000003
2012_12_05_0026,41,19392.2,1.3864,bout start; spontaneous,Cell-attached,19.392200000000003
2012_12_05_0026,42,19438.07,21.8007,,Cell-attached,19.43807
2012_12_05_0026,43,19479.39,24.2014,,Cell-attached,19.47939
2012_12_05_0026,44,19523.37,22.7376,bout end,Cell-attached,19.52337
2012_12_05_0026,45,20043.38,1.923,bout start; spontaneous,Cell-attached,20.043380000000003
2012_12_05_0026,46,20083.86,24.7036,,Cell-attached,20.08386
2012_12_05_0026,47,20126.28,23.5738,bout end,Cell-attached,20.126279999999998
2012_12_05_0026,48,20745.6,1.6147,bout start; spontaneous,Cell-attached,20.7456
2012_12_05_0026,49,20790.67,22.1877,,Cell-attached,20.79067
2012_12_05_0026,50,20835.41,22.3514,,Cell-attached,20.83541
2012_12_05_0026,51,20877.64,23.6798,bout end,Cell-attached,20.87764
2012_12_05_0026,52,24677.68,0.2632,bout start; spontaneous,Cell-attached,24.677680000000002
2012_12_05_0026,53,24719.12,24.1313,,Cell-attached,24.71912
2012_12_05_0026,54,24764.01,22.2767,,Cell-attached,24.76401
2012_12_05_0026,55,24805.04,24.3724,,Cell-attached,24.80504
2012_12_05_0026,56,24845.41,24.7709,bout end,Cell-attached,24.84541
2012_12_05_0026,57,25395.58,1.8176,bout start; spontaneous,Cell-attached,25.395580000000002
2012_12_05_0026,58,25436.43,24.4798,,Cell-attached,25.43643
2012_12_05_0026,59,25477.77,24.1896,,Cell-attached,25.47777
2012_12_05_0026,60,25522.56,22.3264,bout end,Cell-attached,25.522560000000002
2012_12_05_0026,61,26393.47,1.1482,bout start; spontaneous,Cell-attached,26.39347
2012_12_05_0026,62,26439.88,21.5471,,Cell-attached,26.439880000000002
2012_12_05_0026,63,26483.58,22.8833,,Cell-attached,26.483580000000003
2012_12_05_0026,64,26524.8,24.2601,,Cell-attached,26.5248
2012_12_05_0026,65,26563.09,26.1165,,Cell-attached,26.56309
2012_12_05_0026,66,26604.89,23.9234,,Cell-attached,26.60489
2012_12_05_0026,67,26654.46,20.1735,,Cell-attached,26.65446
2012_12_05_0026,68,26692.94,25.9875,,Cell-attached,26.69294
2012_12_05_0026,69,26738.9,21.7581,,Cell-attached,26.7389
2012_12_05_0026,70,26787.9,20.4082,,Cell-attached,26.7879
2012_12_05_0026,71,26833.51,21.925,,Cell-attached,26.83351
2012_12_05_0026,72,26879.99,21.5146,,Cell-attached,26.879990000000003
2012_12_05_0026,73,26924.0,22.7221,bout end,Cell-attached,26.924
2012_12_05_0026,74,27723.44,1.2509,bout start; spontaneous,Cell-attached,27.72344
2012_12_05_0026,75,27766.24,23.3645,,Cell-attached,27.766240000000003
2012_12_05_0026,76,27812.1,21.8055,bout end,Cell-attached,27.812099999999997
2012_12_05_0026,77,28352.48,1.8505,bout start; spontaneous,Cell-attached,28.35248
