Trace name,ID,On time,Freq,Tags,Type,Seconds
2013_03_21_0000,1,6758.13,,bout start; spontaneous,Cell-attached,6.75813
2013_03_21_0000,2,6799.25,24.3191,,Cell-attached,6.79925
2013_03_21_0000,3,6839.37,24.9252,,Cell-attached,6.83937
2013_03_21_0000,4,6876.33,27.0563,,Cell-attached,6.87633
2013_03_21_0000,5,6910.94,28.8934,,Cell-attached,6.91094
2013_03_21_0000,6,6946.44,28.169,,Cell-attached,6.94644
2013_03_21_0000,7,6978.43,31.2598,,Cell-attached,6.97843
2013_03_21_0000,8,7013.8,28.2725,,Cell-attached,7.013800000000001
2013_03_21_0000,9,7050.58,27.1887,,Cell-attached,7.05058
2013_03_21_0000,10,7079.45,34.638,,Cell-attached,7.07945
2013_03_21_0000,11,7115.71,27.5786,,Cell-attached,7.11571
2013_03_21_0000,12,7150.78,28.5144,,Cell-attached,7.15078
2013_03_21_0000,13,7185.12,29.1206,,Cell-attached,7.18512
2013_03_21_0000,14,7220.96,27.9018,,Cell-attached,7.22096
2013_03_21_0000,15,7251.83,32.3939,,Cell-attached,7.25183
2013_03_21_0000,16,7284.79,30.3398,,Cell-attached,7.28479
2013_03_21_0000,17,7318.22,29.9133,bout end,Cell-attached,7.31822
2013_03_21_0000,18,7380.09,16.1629,bout start; spontaneous,Cell-attached,7.38009
2013_03_21_0000,19,7410.72,32.6477,,Cell-attached,7.41072
2013_03_21_0000,20,7443.11,30.8737,,Cell-attached,7.44311
2013_03_21_0000,21,7481.36,26.1438,,Cell-attached,7.48136
2013_03_21_0000,22,7511.08,33.6474,,Cell-attached,7.51108
2013_03_21_0000,23,7547.0,27.8396,,Cell-attached,7.547000000000001
2013_03_21_0000,24,7587.19,24.8818,,Cell-attached,7.58719
2013_03_21_0000,25,7630.02,23.3481,,Cell-attached,7.630020000000001
2013_03_21_0000,26,7654.83,40.3063,,Cell-attached,7.6548300000000005
2013_03_21_0000,27,7686.61,31.4663,,Cell-attached,7.68661
2013_03_21_0000,28,7723.58,27.049,,Cell-attached,7.72358
2013_03_21_0000,29,7753.82,33.0688,,Cell-attached,7.75382
2013_03_21_0000,30,7782.46,34.9162,,Cell-attached,7.78246
2013_03_21_0000,31,7813.45,32.2685,,Cell-attached,7.81345
2013_03_21_0000,32,7846.62,30.1477,bout end,Cell-attached,7.84662
2013_03_21_0000,33,7919.27,13.7646,bout start; spontaneous,Cell-attached,7.919270000000001
2013_03_21_0000,34,7947.59,35.3107,,Cell-attached,7.94759
2013_03_21_0000,35,7982.12,28.9603,,Cell-attached,7.98212
2013_03_21_0000,36,8019.22,26.9542,,Cell-attached,8.01922
2013_03_21_0000,37,8062.65,23.0256,,Cell-attached,8.06265
2013_03_21_0000,38,8098.33,28.0269,,Cell-attached,8.09833
2013_03_21_0000,39,8127.18,34.662,,Cell-attached,8.127180000000001
2013_03_21_0000,40,8161.9,28.8018,,Cell-attached,8.1619
2013_03_21_0000,41,8194.9,30.303,,Cell-attached,8.1949
2013_03_21_0000,42,8230.77,27.8784,,Cell-attached,8.230770000000001
2013_03_21_0000,43,8259.42,34.904,,Cell-attached,8.25942
2013_03_21_0000,44,8290.48,32.1958,,Cell-attached,8.29048
2013_03_21_0000,45,8324.39,29.4898,,Cell-attached,8.32439
2013_03_21_0000,46,8357.56,30.1477,,Cell-attached,8.35756
2013_03_21_0000,47,8391.02,29.8864,bout end,Cell-attached,8.391020000000001
2013_03_21_0000,48,8457.89,14.9544,bout start; spontaneous,Cell-attached,8.457889999999999
2013_03_21_0000,49,8499.13,24.2483,,Cell-attached,8.49913
2013_03_21_0000,50,8534.83,28.0112,,Cell-attached,8.53483
2013_03_21_0000,51,8563.96,34.3289,,Cell-attached,8.56396
2013_03_21_0000,52,8598.55,28.9101,bout end,Cell-attached,8.59855
2013_03_21_0000,53,8669.29,14.1363,bout start; spontaneous,Cell-attached,8.669290000000002
2013_03_21_0000,54,8699.55,33.0469,,Cell-attached,8.69955
2013_03_21_0000,55,8732.91,29.976,,Cell-attached,8.73291
2013_03_21_0000,56,8771.2,26.1165,,Cell-attached,8.7712
2013_03_21_0000,57,8810.79,25.2589,,Cell-attached,8.81079
2013_03_21_0000,58,8843.69,30.3951,,Cell-attached,8.84369
2013_03_21_0000,59,8884.87,24.2836,,Cell-attached,8.884870000000001
2013_03_21_0000,60,8907.69,43.8212,,Cell-attached,8.90769
2013_03_21_0000,61,8918.91,89.1266,,Cell-attached,8.91891
2013_03_21_0000,62,8960.96,23.7812,,Cell-attached,8.96096
2013_03_21_0000,63,9010.39,20.2306,,Cell-attached,9.01039
2013_03_21_0000,64,9052.56,23.7135,,Cell-attached,9.05256
2013_03_21_0000,65,9089.8,26.8528,,Cell-attached,9.0898
2013_03_21_0000,66,9128.81,25.6345,,Cell-attached,9.12881
2013_03_21_0000,67,9170.0,24.2777,,Cell-attached,9.17
2013_03_21_0000,68,9211.1,24.3309,,Cell-attached,9.2111
2013_03_21_0000,69,9257.75,21.4362,,Cell-attached,9.25775
2013_03_21_0000,70,9296.85,25.5754,,Cell-attached,9.296850000000001
2013_03_21_0000,71,9347.41,19.7785,,Cell-attached,9.34741
2013_03_21_0000,72,9384.1,27.2554,,Cell-attached,9.3841
2013_03_21_0000,73,9425.86,23.9464,,Cell-attached,9.42586
2013_03_21_0000,74,9459.28,29.9222,,Cell-attached,9.459280000000001
2013_03_21_0000,75,9494.05,28.7604,bout end,Cell-attached,9.49405
2013_03_21_0000,76,9688.34,5.1469,bout start; spontaneous,Cell-attached,9.68834
2013_03_21_0000,77,9723.73,28.2566,,Cell-attached,9.72373
2013_03_21_0000,78,9757.6,29.5247,,Cell-attached,9.7576
2013_03_21_0000,79,9792.18,28.9184,,Cell-attached,9.79218
2013_03_21_0000,80,9833.17,24.3962,,Cell-attached,9.83317
2013_03_21_0000,81,9869.42,27.5862,,Cell-attached,9.86942
2013_03_21_0000,82,9907.85,26.0213,,Cell-attached,9.90785
2013_03_21_0000,83,9949.78,23.8493,bout end,Cell-attached,9.94978
2013_03_21_0000,84,22142.99,0.082,bout start; shock,Cell-attached,22.14299
2013_03_21_0000,85,22179.04,27.7393,,Cell-attached,22.17904
2013_03_21_0000,86,22233.92,18.2216,,Cell-attached,22.233919999999998
2013_03_21_0000,87,22270.76,27.1444,bout end,Cell-attached,22.27076
2013_03_21_0000,88,32539.65,0.0974,bout start; shock,Cell-attached,32.53965
2013_03_21_0000,89,32569.39,33.6247,,Cell-attached,32.56939
2013_03_21_0000,90,32607.17,26.469,,Cell-attached,32.607169999999996
2013_03_21_0000,91,32651.24,22.6912,,Cell-attached,32.65124
2013_03_21_0000,92,32692.95,23.9751,,Cell-attached,32.69295
2013_03_21_0000,93,32736.67,22.8728,bout end,Cell-attached,32.73667
2013_03_21_0000,94,33102.95,2.7302,bout start; spontaneous,Cell-attached,33.10295
2013_03_21_0000,95,33132.71,33.6022,,Cell-attached,33.13271
2013_03_21_0000,96,33170.52,26.448,,Cell-attached,33.170519999999996
2013_03_21_0000,97,33210.6,24.9501,,Cell-attached,33.2106
2013_03_21_0000,98,33246.17,28.1136,,Cell-attached,33.24617
2013_03_21_0000,99,33281.04,28.6779,,Cell-attached,33.281040000000004
2013_03_21_0000,100,33315.77,28.7936,,Cell-attached,33.31577
2013_03_21_0000,101,33353.69,26.3713,,Cell-attached,33.35369
2013_03_21_0000,102,33391.9,26.1712,,Cell-attached,33.3919
2013_03_21_0000,103,33427.92,27.7624,,Cell-attached,33.42792
2013_03_21_0000,104,33466.12,26.178,,Cell-attached,33.466120000000004
