Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_12_06_0056,1,6060.95,,bout start; spontaneous,Cell-attached,6.06095
2012_12_06_0056,2,6102.81,23.8892,,Cell-attached,6.102810000000001
2012_12_06_0056,3,6143.75,24.426,,Cell-attached,6.14375
2012_12_06_0056,4,6182.76,25.6345,bout end,Cell-attached,6.18276
2012_12_06_0056,5,6722.96,1.8512,bout start; spontaneous,Cell-attached,6.7229600000000005
2012_12_06_0056,6,6769.15,21.6497,,Cell-attached,6.76915
2012_12_06_0056,7,6806.0,27.137,,Cell-attached,6.806
2012_12_06_0056,8,6844.7,25.8398,,Cell-attached,6.8447
2012_12_06_0056,9,6882.38,26.5393,,Cell-attached,6.88238
2012_12_06_0056,10,6916.15,29.6121,,Cell-attached,6.91615
2012_12_06_0056,11,6951.98,27.9096,,Cell-attached,6.95198
2012_12_06_0056,12,6986.86,28.6697,,Cell-attached,6.98686
2012_12_06_0056,13,7018.34,31.7662,,Cell-attached,7.01834
2012_12_06_0056,14,7055.37,27.0051,,Cell-attached,7.05537
2012_12_06_0056,15,7090.36,28.5796,,Cell-attached,7.0903599999999996
2012_12_06_0056,16,7122.23,31.3775,,Cell-attached,7.12223
2012_12_06_0056,17,7161.55,25.4323,,Cell-attached,7.16155
2012_12_06_0056,18,7198.78,26.8601,,Cell-attached,7.19878
2012_12_06_0056,19,7231.15,30.8928,,Cell-attached,7.2311499999999995
2012_12_06_0056,20,7267.33,27.6396,,Cell-attached,7.26733
2012_12_06_0056,21,7302.46,28.4657,,Cell-attached,7.30246
2012_12_06_0056,22,7339.68,26.8673,,Cell-attached,7.33968
2012_12_06_0056,23,7373.94,29.1886,,Cell-attached,7.37394
2012_12_06_0056,24,7412.9,25.6674,,Cell-attached,7.4129
2012_12_06_0056,25,7446.23,30.003,,Cell-attached,7.44623
2012_12_06_0056,26,7482.81,27.3373,,Cell-attached,7.482810000000001
2012_12_06_0056,27,7518.39,28.1057,,Cell-attached,7.51839
2012_12_06_0056,28,7554.97,27.3373,,Cell-attached,7.554970000000001
2012_12_06_0056,29,7590.39,28.2326,,Cell-attached,7.59039
2012_12_06_0056,30,7624.89,28.9855,bout end,Cell-attached,7.624890000000001
2012_12_06_0056,31,7832.52,4.8163,bout start; spontaneous,Cell-attached,7.832520000000001
2012_12_06_0056,32,7862.76,33.0688,,Cell-attached,7.862760000000001
2012_12_06_0056,33,7896.37,29.753,,Cell-attached,7.89637
2012_12_06_0056,34,7928.22,31.3972,,Cell-attached,7.9282200000000005
2012_12_06_0056,35,7961.44,30.1023,,Cell-attached,7.96144
2012_12_06_0056,36,7998.69,26.8456,,Cell-attached,7.99869
2012_12_06_0056,37,8035.57,27.115,,Cell-attached,8.03557
